reach_id	Distance	Elevation
659	0	188.9738312
659	24.09835852	187.8788605
659	72.29507555	186.3480377
659	96.39343407	181.5740662
659	120.4917926	185.5533905
659	144.5901511	179.9999847
659	168.6885096	179.7707214
659	1180.819567	203.5693817
660	0	205.6468353
660	193.0651003	194.1712799
660	228.1678458	190.5635223
660	245.7192186	190.2114868
660	263.2705913	190.0114899
660	280.8219641	192.6228638
660	315.9247096	193.6551056
660	860.017265	205.1399231
661	0	203.0354156
661	806.5178508	195.5051575
661	868.5576854	198.7221069
661	899.5776028	196.3530426
661	1054.677189	198.2245178
661	1271.816611	194.7135315
661	1426.916197	192.3537292
661	1519.975949	192.7412872
662	0	205.0096893
662	240.3948117	189.4967651
662	257.5658696	182.1543427
662	274.7369276	177.9558563
662	291.9079856	177.7558594
662	309.0790436	183.3559265
662	343.4211595	177.1905212
662	841.3818408	174.0414429
663	0	193.3142242
663	3755.102041	197.3797607
663	3918.367347	190.7904205
663	4081.632653	182.5047455
663	4244.897959	197.5754547
663	4408.163265	198.719162
663	4571.428571	198.0335541
663	8000	197.2053833
664	0	195.2920532
664	13.65753238	195.0130463
664	16.38903886	195.0130463
664	21.85205181	197.4130554
664	30.04657124	202.0130463
664	35.5095842	203.0130463
664	43.70410363	204.9764099
664	133.8438174	207.2129364
666	0	205.0974274
666	1795.585705	205.4789581
666	1837.343512	205.3344879
666	1879.101319	202.7336578
666	1920.859126	190.3273926
666	1962.616933	190.664978
666	2004.37474	197.1077423
666	2046.132548	205.1692505
668	0	206.1862793
668	3591.836735	210.4876709
668	3755.102041	212.1089172
668	3918.367347	206.7609863
668	4081.632653	210.7535248
668	4244.897959	198.3620453
668	4408.163265	213.4828949
668	8000	219.1941986
671	0	210.4970856
671	393.7165289	202.4279938
671	416.8763247	202.3321228
671	440.0361205	203.3321228
671	463.1959163	202.7072449
671	509.5155079	205.0469818
671	532.6753038	205.8199158
671	1134.829995	212.634552
675	0	208.547699
675	306.7649625	205.7637329
675	340.8499584	197.520874
675	374.9349542	195.0969849
675	409.01995	204.4714355
675	443.1049459	205.0003662
675	477.1899417	206.3483276
675	1670.164796	210.7921448
676	0	209.4179077
676	68.85185264	204.7741699
676	82.62222316	203.5973969
676	151.4740758	204.3018036
676	165.2444463	203.7018127
676	179.0148169	204.7290497
676	206.5555579	207.1452179
676	674.7481558	208.9880066
679	0	201.8426819
679	276.3197997	202.165802
679	326.5597633	200.8285828
679	351.6797451	193.2825165
679	376.7997269	193.1091309
679	401.9197087	195.0448151
679	427.0396905	197.6275024
679	1230.879108	207.1499481
680	0	205.1322937
680	73.17310471	202.4146423
680	86.08600555	201.7031555
680	150.6505097	201.2601776
680	154.95481	201.2601776
680	172.1720111	201.6682739
680	176.4763114	201.0682678
680	210.9107136	200.9491425
682	0	199.7553101
682	9.017552449	201.624054
682	18.0351049	199.5756836
682	27.05265735	197.3756866
682	72.14041959	194.4478607
682	81.15797204	194.4478607
682	117.2281818	198.5052795
682	441.86007	206.3553162
683	0	204.0207672
683	727.9476654	191.8813171
683	745.7024865	192.481308
683	781.2121287	192.6866608
683	816.7217709	192.49617
683	834.476592	192.2961578
683	852.2314131	192.2395935
683	869.9862342	192.8395996
685	0	207.1890259
685	429.0748434	205.8837738
685	443.8705277	205.0837708
685	458.6662119	204.279129
685	473.4618962	204.0791321
685	680.6014758	203.5037384
685	695.39716	203.3037415
685	724.9885285	204.6478882
686	0	204.5671997
686	83.43525938	201.0796051
686	91.77878532	202.2796021
686	100.1223113	202.8796082
686	250.3057781	207.1792603
686	266.99283	201.7792664
686	350.4280894	207.2174988
686	408.832771	207.1330414
688	0	181.569397
688	62.51505786	184.3835297
688	71.44578041	182.5835419
688	89.30722551	180.5835419
688	133.9608383	179.3831024
688	142.8915608	179.5291748
688	205.4066187	185.4860992
688	437.605405	197.4081116
689	0	174.4899902
689	3591.836735	3.40E+23
689	3755.102041	3.40E+23
689	3918.367347	173.1600037
689	4081.632653	173.1600037
689	4244.897959	3.40E+23
689	4408.163265	3.40E+23
689	8000	3.40E+23
690	0	3.40E+23
690	163.2653061	3.40E+23
690	326.5306122	173.1600037
690	489.7959184	174.9600067
690	653.0612245	185.1256561
690	816.3265306	186.1953278
690	979.5918367	187.0403137
690	4244.897959	184.9598694
691	0	3.40E+23
691	163.2653061	3.40E+23
691	326.5306122	3.40E+23
691	489.7959184	173.1600037
691	653.0612245	173.1600037
691	816.3265306	174.6345978
691	979.5918367	174.5138855
691	4571.428571	184.6877899
692	0	173.1600037
692	99.1434182	173.1600037
692	111.5363455	173.1600037
692	185.8939091	173.1600037
692	198.2868364	173.1600037
692	433.7524546	173.5599976
692	446.1453819	173.1600037
692	607.2534365	174.7555542
693	0	174.1100006
693	0.059772734	174.1100006
693	0.119545468	174.1100006
693	0.179318202	174.1100006
693	0.239090936	174.1100006
693	1.195454681	174.1100006
693	1.255227415	174.1100006
693	2.928863969	174.1100006
694	0	175.024704
694	156.0137848	174.6947327
694	174.0153753	174.4837341
694	234.0206772	174.2400055
694	240.0212074	174.2400055
694	246.0217375	174.2400055
694	270.0238583	174.5028687
694	294.025979	175.1028748
696	0	183.0105438
696	727.3538985	182.2035522
696	744.6718485	180.2926636
696	761.9897984	176.8795166
696	779.3077484	174.8860168
696	813.9436483	174.9382629
696	831.2615983	174.738266
696	848.5795483	175.1382599
697	0	196.7245483
697	405.0796806	176.3963165
697	434.0139435	176.3610077
697	462.9482064	179.4207306
697	491.8824693	178.0800018
697	520.8167322	176.2799988
697	549.7509951	176.9596558
697	1417.778882	197.3356628
702	0	196.7296448
702	1877.424036	188.7557373
702	1922.124609	195.600708
702	1966.825181	194.2848053
702	2011.525753	184.6582336
702	2056.226326	189.274292
702	2100.926898	200.0768585
702	2190.328042	193.8291016
708	0	201.8183746
708	152.2215536	200.3919678
708	177.5918126	198.4796753
708	241.0174599	197.756424
708	253.7025894	197.7585907
708	380.5538841	198.4500275
708	393.2390135	199.0863953
708	621.571344	201.6316986
709	0	202.4221191
709	6.994247615	201.8221283
709	27.97699046	201.2651215
709	34.97123807	200.6651154
709	41.96548569	200.685791
709	83.93097138	199.3403625
709	111.9079618	199.0702362
709	342.7181331	203.3203888
710	0	175.0428772
710	273.3706191	174.1999969
710	279.7280753	174.1999969
710	286.0855316	174.1999969
710	292.4429879	174.8000031
710	298.8004441	175
710	305.1579004	174.6438141
710	311.5153566	174.6438141
711	0	193.516098
711	254.5479307	178.5554199
711	268.6894824	178.9554291
711	311.1141375	178.9054108
711	318.1849134	178.7053986
711	332.3264651	179.3943024
711	339.3972409	180.3943024
711	346.4680168	184.1083984
712	0	174.6793976
712	11.63306158	174.4794006
712	23.26612316	174.8733673
712	34.89918474	174.6733704
712	46.53224633	174.6733704
712	58.16530791	174.6309814
712	69.79836949	174.4309845
712	570.0200175	179.6042938
713	0	203.1109009
713	2070.272512	184.6849365
713	2118.418385	184.1261902
713	2166.564257	184.4904327
713	2214.71013	184.852478
713	2262.856002	194.5034332
713	2311.001874	197.475174
713	2359.147747	197.9075012
716	0	174.2899933
716	3591.836735	3.40E+23
716	3755.102041	173.1600037
716	3918.367347	173.1600037
716	4081.632653	173.1600037
716	4244.897959	3.40E+23
716	4408.163265	3.40E+23
716	8000	3.40E+23
717	0	191.0904083
717	3102.040816	184.2467651
717	3265.306122	184.127121
717	3428.571429	185.3836517
717	3591.836735	183.3395386
717	3755.102041	174.5599976
717	3918.367347	173.1600037
717	4081.632653	173.1600037
719	0	204.8613892
719	1320.693388	194.6211548
719	1351.407188	194.1070099
719	1382.120988	193.8791656
719	1412.834788	193.4289703
719	1443.548587	192.7818298
719	1474.262387	193.4045105
719	1504.976187	196.6516724
720	0	200.673111
720	3428.571429	188.5150146
720	3591.836735	187.8127594
720	3755.102041	186.9024963
720	3918.367347	173.1600037
720	4081.632653	173.1600037
720	4244.897959	3.40E+23
720	4408.163265	3.40E+23
5	0	256.5488892
5	992.9077031	251.9742432
5	1015.99858	252.3742523
5	1039.089457	252.2367096
5	1062.180334	251.8045807
5	1085.27121	252.4277344
5	1108.362087	252.0596771
5	1131.452964	252.4328461
6	0	257.2563477
6	55.58834075	255.4413605
6	111.1766815	254.5151825
6	166.7650223	254.9114227
6	222.353363	256.3976135
6	277.9417038	258.5783691
6	333.5300445	258.6741638
6	2723.828697	260.7341309
7	0	264.5252991
7	480.8780424	257.7626343
7	492.6067751	256.1626282
7	516.0642406	257.7130127
7	539.5217061	256.9985962
7	551.2504388	256.0325623
7	562.9791716	256.6325684
7	574.7079043	257.2325439
12	0	261.8273621
12	22.22243831	261.7261658
12	44.44487662	261.4887085
12	66.66731493	261.2887268
12	88.88975324	261.3249207
12	111.1121916	261.1348877
12	133.3346299	261.1348877
12	1088.899477	269.6462402
13	0	261.412323
13	322.1138693	257.5492859
13	357.9042993	257.4824829
13	393.6947292	256.3427429
13	429.4851591	257.5969849
13	465.275589	257.8317261
13	536.8564489	257.6406555
13	1753.731066	268.3118591
20	0	266.4083252
20	2648.271851	254.0042572
20	2709.859568	254.4774017
20	2771.447286	253.6200104
20	2833.035003	252.9896545
20	2894.622721	254.3122101
20	2956.210438	254.2651825
20	3017.798156	255.1149445
22	0	269.7651367
22	2347.309797	255.0803375
22	2412.512847	254.1352844
22	2477.715897	253.3762665
22	2542.918947	254.7122192
22	2673.325047	255.244873
22	2738.528097	254.1856079
22	3194.949446	261.2124023
37	0	248.4598083
37	675.2605054	241.8167572
37	700.2701537	242.6860962
37	800.3087471	241.3043671
37	825.3183955	241.504364
37	850.3280438	242.1135864
37	875.3376921	245.1341705
37	1225.472769	245.7896576
38	0	252.1164398
38	1257.122966	242.7008514
38	1293.040765	242.6429291
38	1328.958564	241.7645264
38	1364.876363	242.5931549
38	1400.794162	243.0691071
38	1436.711961	242.9982147
38	1724.054353	245.7288361
47	0	244.5005798
47	40.41354695	244.6559448
47	47.38139988	244.055954
47	57.13639397	243.6933441
47	58.52996455	243.6933441
47	59.92353514	243.6933441
47	61.31710572	244.0933533
47	68.28495865	243.8933411
50	0	262.7097168
50	179.962364	255.9214325
50	184.1475353	255.9214325
50	188.3327066	255.9214325
50	192.5178778	256.3214417
50	196.7030491	256.3214417
50	200.8882203	256.7214355
50	205.0733916	256.4300842
59	0	269.1372681
59	8.349456068	268.537262
59	25.0483682	268.8873291
59	50.09673641	268.5942078
59	83.49456068	268.8427124
59	91.84401675	268.2427368
59	100.1934728	269.0892334
59	409.1233473	276.3226929
60	0	272.9905701
60	17.02931012	272.8701172
60	34.05862024	272.8701172
60	51.08793036	272.6859741
60	68.11724048	272.7558289
60	85.14655061	272.9706116
60	102.1758607	274.5706177
60	834.4361959	275.7379761
61	0	245.2391663
61	14.19496028	244.8391571
61	22.08104932	244.6391602
61	28.38992055	244.8391571
61	56.77984111	244.6166687
61	63.08871234	244.6166687
61	64.66593015	244.6166687
61	77.28367262	244.8166656
67	0	245.9093475
67	107.680762	244.6851196
67	148.0610477	244.0723114
67	188.4413335	243.5450134
67	201.9014287	243.7470245
67	242.2817145	245.2192688
67	269.201905	246.0992126
67	659.5446672	247.2503357
70	0	286.02948
70	1422.097226	273.3590393
70	1455.169254	273.2840576
